time,open,high,low,close,Line,Squeeze
1733707920,99866,99874,99866,99874,181.1600000000011,2
1733707980,99830,99830,99807,99807,153.62636363636253,2
1733708040,99840,99840,99830,99837,132.96090909090577,2
1733708100,99863,99898,99863,99889,123.68454545454192,2
1733708160,99809,99809,99796,99796,70.91545454545121,2
1733708220,99791,99791,99620,99674,-17.293636363637575,2
1733708280,99724,99724,99724,99724,-64.04454545454857,2
1733708400,99708,99743,99708,99725,-87.4645454545479,2
1733708460,99665,99681,99655,99681,-113.55363636364024,2
1733708520,99681,99695,99629,99629,-138.41272727273093,2
1733708580,99646,99646,99637,99639,-144.55454545454808,2
1733708640,99618,99676,99618,99676,-137.38545454545664,2
1733708700,99658,99687,99630,99687,-114.92636363636542,2
1733708760,99616,99651,99616,99651,-79.34181818182088,1
1733708820,99593,99593,99574,99574,-73.1636363636382,1
1733708880,99528,99528,99470,99505,-93.04090909091067,2
1733708940,99528,99528,99528,99528,-90.89545454545588,2
1733709000,99509,99563,99509,99562,-67.24727272727495,2
1733709060,99589,99589,99501,99558,-51.18000000000095,2
1733709120,99534,99545,99533,99545,-48.57818181818239,2
1733709180,99562,99578,99560,99560,-40.0872727272741,2
1733709240,99553,99605,99553,99605,-10.869090909091483,2
1733709300,99654,99654,99629,99629,29.09181818181638,1
1733709360,99617,99624,99593,99593,51.33999999999918,1
1733709420,99615,99615,99568,99599,60.77272727272806,1
1733709480,99599,99601,99599,99601,54.73909090909157,1
1733709540,99614,99623,99614,99623,53.25818181818282,1
1733709600,99599,99599,99521,99521,20.960909090910256,1
1733709660,99537,99537,99511,99535,-5.249090909090327,2
1733709720,99588,99588,99511,99527,-34.55727272726997,2
1733709780,99553,99553,99553,99553,-50.241818181817166,2
1733709840,99517,99517,99479,99479,-76.51272727272642,2
1733709900,99476,99476,99472,99474,-85.3763636363641,2
1733709960,99503,99609,99501,99609,-46.919090909092276,2
1733710020,99629,99676,99629,99646,-1.7636363636353067,2
1733710080,99675,99719,99675,99719,58.1954545454543,2
1733710200,99666,99677,99666,99677,99.96090909090867,2
1733710260,99742,99782,99742,99782,145.23727272727172,2
1733710320,99728,99742,99724,99739,162.23454545454402,2
1733710380,99740,99757,99722,99722,159.7318181818179,2
1733710440,99749,99749,99749,99749,160.67363636363478,2
1733710500,99750,99750,99711,99726,130.19545454545533,2
1733710560,99630,99630,99623,99623,52.86090909090787,1
1733710620,99636,99646,99636,99646,-2.3354545454549793,2
1733710680,99632,99632,99587,99601,-58.58909090908924,2
1733710740,99597,99599,99500,99500,-117.83727272727143,2
