time,open,high,low,close,Line,Squeeze
1735180440,0.033449,0.03348,0.03339,0.033403,0.00012100999999999562,1
1735180500,0.033406,0.033409,0.033312,0.03334,0.0001073890909090895,1
1735180560,0.033341,0.033352,0.033301,0.033304,0.00007076181818181774,1
1735180620,0.033304,0.033333,0.033256,0.033265,0.000019823636363638677,1
1735180680,0.033266,0.033303,0.033213,0.033226,-0.000048027272727271674,2
1735180740,0.033226,0.033318,0.033213,0.033264,-0.00010109545454545483,2
1735180800,0.033265,0.033342,0.033241,0.033326,-0.00010782181818182014,2
1735180860,0.033327,0.033349,0.033263,0.033337,-0.00010481090909091329,2
1735180920,0.033337,0.03334,0.033301,0.033332,-0.00008060545454546037,2
1735180980,0.033332,0.033428,0.033332,0.033428,-0.000012447272727279553,2
1735181040,0.033424,0.03345,0.033392,0.033419,0.000045744545454537685,1
1735181100,0.03342,0.033456,0.033207,0.033213,0.000020184545454539197,1
1735181160,0.033213,0.033222,0.033132,0.033165,-0.00001522181818182481,2
1735181220,0.033164,0.033197,0.033133,0.033139,-0.00006063090909091368,2
1735181280,0.033137,0.033139,0.033063,0.033066,-0.0001280763636363673,2
1735181340,0.033067,0.033125,0.033052,0.033079,-0.00017583272727273106,2
1735181400,0.03308,0.033114,0.033011,0.033081,-0.00019811181818182096,2
1735181460,0.03308,0.033229,0.03308,0.033173,-0.00017694545454545617,2
1735181520,0.033173,0.033176,0.033056,0.03307,-0.00018505000000000198,2
1735181580,0.033071,0.033086,0.032938,0.032978,-0.00018212272727273021,2
1735181640,0.032978,0.033014,0.032954,0.032954,-0.00016447000000000727,2
1735181700,0.032955,0.033063,0.032916,0.03302,-0.00012374909090909995,2
1735181760,0.03302,0.033102,0.032969,0.032969,-0.00010477272727273768,2
1735181820,0.032967,0.032968,0.032916,0.032925,-0.00010326090909092019,2
1735181880,0.032926,0.032989,0.032924,0.032924,-0.0001104709090909197,2
1735181940,0.032923,0.032944,0.0329,0.032935,-0.00010922818181819229,2
1735182000,0.032925,0.033102,0.032909,0.033086,-0.00005507181818182835,2
1735182060,0.033091,0.033094,0.032928,0.032928,-0.000037598181818191106,2
1735182120,0.032938,0.033004,0.0329,0.032923,-0.00002915909090910103,2
1735182180,0.032922,0.032939,0.03268,0.032687,-0.00009276909090910132,2
1735182240,0.032689,0.032718,0.032625,0.032666,-0.0001520736363636468,2
1735182300,0.032666,0.032743,0.032614,0.032679,-0.00017091272727273754,2
1735182360,0.032679,0.032734,0.032673,0.032709,-0.00017585000000000945,2
1735182420,0.03271,0.032712,0.032646,0.03265,-0.00020038454545455542,2
1735182480,0.032651,0.032708,0.032636,0.032702,-0.00019855454545455428,2
1735182540,0.032704,0.032764,0.032658,0.032676,-0.0001965554545454648,2
1735182600,0.032672,0.032729,0.03266,0.03272,-0.0001400336363636469,2
1735182660,0.032721,0.032752,0.032655,0.032677,-0.00010588272727273787,2
